# List of adjectives and their exclamation forms, used to transforme exclamative phrase.
جميل=ما أجمل|أجمِل ب
سعيد=ما أسعد|أسعِد ب
مستعجل=ما أشدّ استعجال|اشدد باستعجال
أول=ما أَوَّلَ|أَوِّلْ ب
أول=ما أوْلَى|أوْلِ ب
أولى=ما أَوَّلَ|أَوِّلْ ب
أولى=ما أوْلَى|أوْلِ ب
بارز=ما أَبْرَزَ|أَبْرِزْ ب
بارزة=ما أَبْرَزَ|أَبْرِزْ ب
بسيط=ما أَبْسَطَ|أَبْسِطْ ب
بسيطة=ما أَبْسَطَ|أَبْسِطْ ب
بطيء=ما أَبْطَأَ|أَبْطِئْ ب
بطيئة=ما أَبْطَأَ|أَبْطِئْ ب
بعيد=ما أَبْعَدَ|أَبْعِدْ ب
بعيدة=ما أَبْعَدَ|أَبْعِدْ ب
بهي=ما أَبْهَى|أَبْهِ ب
بهية=ما أَبْهَى|أَبْهِ ب
ثقيل=ما أَثْقَلَ|أَثْقِلْ ب
ثقيلة=ما أَثْقَلَ|أَثْقِلْ ب
جدي=ما أَجْدَى|أَجْدِ ب
جدية=ما أَجْدَى|أَجْدِ ب
#جميل=ما أَجْمَلَ|أَجْمِلْ ب
جميلة=ما أَجْمَلَ|أَجْمِلْ ب
جواد=ما أَجْوَدَ|أَجْوِدْ ب
جوادة=ما أَجْوَدَ|أَجْوِدْ ب
جيد=ما أَجْوَدَ|أَجْوِدْ ب
جيدة=ما أَجْوَدَ|أَجْوِدْ ب
حريص=ما أَحْرَصَ|أَحْرِصْ ب
حريصة=ما أَحْرَصَ|أَحْرِصْ ب
حسن=ما أَحْسَنَ|أَحْسِنْ ب
حسنة=ما أَحْسَنَ|أَحْسِنْ ب
حقيق=ما أَحَقَّ|أَحْقِقْ ب
حقيقة=ما أَحَقَّ|أَحْقِقْ ب
حكيم=ما أَحْكَمَ|أَحْكِمْ ب
حكيمة=ما أَحْكَمَ|أَحْكِمْ ب
حلو=ما أحْلَى|أحْلِ ب
حلوة=ما أحْلَى|أحْلِ ب
خاسر=ما أَخْسَرَ|أَخْسِرْ ب
خاسرة=ما أَخْسَرَ|أَخْسِرْ ب
خاص=ما أَخَصَّ|أَخْصِصْ ب
خاصة=ما أَخَصَّ|أَخْصِصْ ب
خفي=ما أَخْفَى|أَخْفِ ب
خفية=ما أَخْفَى|أَخْفِ ب
خفيف=ما أخفَّ|أَخْفِفْ ب
خفيفة=ما أخفَّ|أَخْفِفْ ب
خير=ما أخْيَرَ|أخْيِرْ ب
خيرة=ما أخْيَرَ|أخْيِرْ ب
دان=ما أَدْنَى|أَدْنِ ب
دانية=ما أَدْنَى|أَدْنِ ب
داهية=ما أَدْهَى|أَدْهِ ب
داهية=ما أَدْهَى|أَدْهِ ب
ذكي=ما أَذْكى|أَذْكِ ب
ذكية=ما أَذْكى|أَذْكِ ب
رائع=ما أَرْوَعَ|أَرْوِعْ ب
رائعة=ما أَرْوَعَ|أَرْوِعْ ب
راجح=ما أَرْجَحَ|أَرْجِحْ ب
راجحة=ما أَرْجَحَ|أَرْجِحْ ب
رديء=ما أَرْدَأَ|أَرْدِئْ ب
رديءة=ما أَرْدَأَ|أَرْدِئْ ب
رذيل=ما أَرْذَلَ|أَرْذِلْ ب
رذيلة=ما أَرْذَلَ|أَرْذِلْ ب
رقيق=ما أَرَقَّ|أَرِقّْ ب
رقيقة=ما أَرَقَّ|أَرِقّْ ب
زائد=ما أَزْيَدَ|أَزْيِدْ ب
زائدة=ما أَزْيَدَ|أَزْيِدْ ب
سابق=ما أَسْبَقَ|أَسْبِقْ ب
سابقة=ما أَسْبَقَ|أَسْبِقْ ب
سافل=ما أَسْفَلَ|أَسْفِلْ ب
سافلة=ما أَسْفَلَ|أَسْفِلْ ب
سام=ما أسْمَى|أسْمِ ب
سامية=ما أسْمَى|أسْمِ ب
سريع=ما أَسْرَعَ|أَسْرِعْ ب
سريعة=ما أَسْرَعَ|أَسْرِعْ ب
سلس=ما أَسْلَسَ|أَسْلِسْ ب
سلسة=ما أَسْلَسَ|أَسْلِسْ ب
سهل=ما أسهل|أَسهِل ب
سهلة=ما أسهل|أَسهِل ب
سيئ=ما أَسْوَأَ|أَسْوِئْ ب
سيئة=ما أَسْوَأَ|أَسْوِئْ ب
شبيه=ما أشْبَهَ|أشْبِهْ ب
شبيهة=ما أشْبَهَ|أشْبِهْ ب
شجاع=ما أَشْجَعَ|أَشْجِعْ ب
شجاعة=ما أَشْجَعَ|أَشْجِعْ ب
شديد=ما أَشَدَّ|أَشْدِدْ ب
شديدة=ما أَشَدَّ|أَشْدِدْ ب
شريف=ما أَشْرَفَ|أَشْرِفْ ب
شريف=ما أَشْرَفَ|أَشْرِفْ ب
شريفة=ما أَشْرَفَ|أَشْرِفْ ب
شريفة=ما أَشْرَفَ|أَشْرِفْ ب
شقي=ما أَشْقى|أَشْقِ ب
شقية=ما أَشْقى|أَشْقِ ب
شهير=ما أشْهَرَ|أشْهِرْ ب
شهيرة=ما أشْهَرَ|أشْهِرْ ب
صادق=ما أَصْدَقَ|أَصْدِقْ ب
صادقة=ما أَصْدَقَ|أَصْدِقْ ب
